Timestamp,"How many times have you used PingPong, approximately? ",Why have you chatted with PingPong less than 5 times?,"Would you use PingPong more if it were different? 

If not, why not? If yes, what would need to change about PingPong for you to use it more? ","If you wanted to learn more about a statistical concept, would you prefer to use PingPong or another LLM?","Please elaborate on your response to the previous question. 

If you prefer one LLM over another, why? If you are indifferent, why? ","If course staff were not available, what percentage of your questions could PingPong fully answer? ","What improvements or changes to PingPong would you like to see implemented? 

For example, do you find any features of PingPong frustrating or confusing? If yes, how would you improve those features?","Do you think PingPong has any notable strengths relative to other LLMs like ChatGPT, Gemini, or Claude? 

If yes, which features do you think are the most impactful?","Without access to LLMs, I would attend STAT 131A office hours...","Without LLMs, do you think your understanding of the STAT 131A material would be different? 

If yes, why do you think your understanding would be different? If not, why do you think your understanding would be the same?","Without LLMs, do you think your homework and exam grades in STAT 131A would be different? 

If yes, why do you think your grades would be different? If not, why do you think your grades would be the same?","Which of the following would you prefer?

1. Programming+statistics courses allow students to use any LLM for homework help.

2. Programming+statistics courses only allow customized chatbots, similar to PingPong.

3. Programming+statistics courses do not allow students to use any LLM.
",Please elaborate on your response to the previous question. Why do you prefer your chosen option?,"What concerns, if any, do you have about AI in education? Has PingPong changed your perspective at all? 

For example, are you scared that LLMs may replace human tutors, interpersonal interaction, or office hours? On the other hand, are you optimistic about the future of AI in education?",Which of these classes did you complete before taking STAT 131A? ,"What is (are) your major(s)? 

Please separate majors with commas. ","What is (are) your minor(s)? 

Please separate minors with commas. "
12/2/2024 14:16,10-25 chats,,,I am indifferent,,25%-50%,,,A little more often,,,2. Only customized chatbots,,,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Molecular and Cell Biology,Data Science
12/2/2024 14:18,10-25 chats,,,I would prefer to use PingPong,I feel PingPong will actually challenge me to further understand the concept while another LLM such as ChatGPT would just give me the answer. ,50%-75%,"Sometimes, there are errors or certain things with my code that are very minor that I need help with and PingPong will try to test me on my knowledge instead of just telling me what is wrong with my code. ","Yes, the reluctance to give direct answers could be seen as a strength. ",A little more often,"I think it would be about the same, assignments would just take longer due to minor misunderstandings. ","Yes, I think LLM's do help with my understanding as well as my correctness on the homeworks.",1. All LLMs allowed,"I believe this class, especially its coding section should allow LLM help because there are often issues with code that are not understood that can be easily solved using LLMs. ","I think AI in education could be a crutch for students and limit their full understanding of the topics they are learning. However, learning how to navigate LLMs could be very beneficial in the future. ","Data 8, CS61A/Data C88C (or other Programming), Stat 133",Environmental Sciences,Data Science
12/2/2024 14:18,25+ chats,,,I would prefer to use PingPong,PingPong feels so friendly and like an actual tutor,50%-75%,I hope that it doesn't talk in circles in the future,It's so friendly and it explains stuff easily!,A lot more often,"Yes, definitely worse",Definitely worse,1. All LLMs allowed,I think all LLMs are not built the same way,,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Cognitive Science,Data Science
12/2/2024 14:18,10-25 chats,,,I am indifferent,"PingPong is better at teaching concepts, other LLMs help you get to answers/quick code fixes faster which are more helpful in certain circumstances.",50%- 75%,Repetitive querying from PingPong itself ,PingPong tends to give more reliable information and breakdowns concepts pretty effectively,A little more often,I think I would have less of an understanding of certain concepts without using PingPong as support for material,I tend to use PingPong and office hours in tandem; if I can't receive enough help for homework then I would go to office hours instead. ,2. Only customized chatbots,There are definitely different skill levels associated with using LLMs and I'm worried about how less customized chatbots give advantages for people who tend to use LLMs more/are better at prompting. ,"I'm more concerned about AI being used to cheat on homework and assignments; using PingPong can be a major tool in getting help, especially for classes that have less capacity for individual, personalized help respective to the size of the class. ","Data 8, CS61A/Data C88C (or other Programming)","Molecular and Cell Biology, Neuroscience",Data Science
12/2/2024 14:18,10-25 chats,,,I am indifferent,,75%-100%,,,A little more often,,,1. All LLMs allowed,,,"Data 8, Data 88S (or other Probability Theory), Stat 133",Economics,Data Science
12/2/2024 14:19,25+ chats,,,I would prefer to use PingPong,"Pingpong seems very specialized toward the course I am taking, and I feel the responses show better understanding and relevance to course concepts compared to other LLMs. ",25%-50%,N/A,Layout of code/steps for working is clearer in my opinion ,A little more often,It wouldn't be different but it would take more time for me to get answers to questions I have on homeworks or labs. ,Potentially. Pingpong was helpful in walking me through homework instructions and clarifying any parts I was confused on. ,2. Only customized chatbots,Specificity to course material is important ,,"Data 8, Data 88S (or other Probability Theory), Stat 133",Economics,Data Science
12/2/2024 14:19,Less than 5 chats,I'm not sure how to integrate LLMs into my study routine,,,,,,,About as much as I do now,I didn’t use LLMs,I didn’t use LLMs,2. Only customized chatbots,"I don’t really care whether they are used or not, but I think having that option is nice for the class.",I’m worried that LLMs will be used in place of human tutors,"Data 8, Stat 133","Public Health, Psychology",Data Science
12/2/2024 14:20,10-25 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","Chat GPT has much better and more direct answers, it gives me the answer and I can sift through and prompt it for the specific element of the question I need answered.",75%-100%,"I would like it to answer the questions I ask it, and not prompt me to put in my understanding",yes it is definitely better for building knowledge but worse at answering questions,A little more often,Not majorly,I think yes,1. All LLMs allowed,I think people revert to GPT regardless,,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Economics,Data Science
12/2/2024 14:20,25+ chats,,,I am indifferent,I liked how ping pong understood my thought processes and then would ask me to fill out code to continue my understanding. The only LLM I would prefer would be pensieve. Pensieve allows you to connect labs and/or homework to the LLM. The LLM allows you to ask for hints and can walk you through problems. It is very helpful that it is connected  so you don’t spend double the time communicating what you do and don’t know.,50%-75%,It would often say I’m trying to ask for answers to a full homework problem and to not do that when I was asking a question about how to approach a problem.,No,A lot more often,Yes. I think I would be a lot more confused on the labs. I feel like I struggle to understand why we do certain things in lab section and ask ping pong why certain things are done.,No,1. All LLMs allowed,I sometimes felt frustrated with ping pong as it would think I’m trying to cheat when asking why we approach a question a certain way.,I am optimistic about the future of AI in education. I think it’s a tool that can help students learn at their speed with less fear of asking questions ,"Data 8, CS61A/Data C88C (or other Programming)",Media Studies,Data Science 
12/2/2024 14:20,10-25 chats,,,I am indifferent,"I like how PingPong is customized for use towards our class specifically, but sometimes the formatting of the answers comes out incorrectly (like incorrect latex)",75%-100%,,,A lot more often,"Yes, it would be worse because LLMs answer my questions in real time and i don't feel 'judged' by my lack of understanding of a topic.","Yes, i think my grades would be worse. LLMs answer my questions in real time. Also, i sometimes can't make my classes' office hours.",2. Only customized chatbots,"Having the customized chatbots allows us to get help, without the LLM feeding us the answer entirely.",,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Public Health,Data Science
12/2/2024 14:21,10-25 chats,,,I am indifferent,"PingPong probes you to think more, while a LLM, like ChatGPT, may just give you the answer right away depending on what you ask. I don't mind either options.",75%-100%,,,About as much as I do now,"Yes because I got clarification on different concepts when I needed at that moment in time, like what a relative frequency histogram is.","Not by a whole a lot for exams, but maybe a bit different for homework.",1. All LLMs allowed,I think students can use any resource out there as long as it adheres to academic honesty.,,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Psychology,Data Science
12/2/2024 14:21,25+ chats,,,I would prefer to use PingPong,I like ping pong because it can be edited by instructor to help us learn effectively. One thing I don’t like is sometimes I feel like it is wasting my time by not answering my simple questions and making me talk to it too long ,50% -75%,"I think when it comes to coding, don’t give the entire answer right away but when it comes to a student asking conceptual questions I wish ping ping would just answer it right away without asking me what I already know every time ",I do like that it acts more like a tutor and has shorter more natural responses than chat gpt ,About as much as I do now,"Yea, it would be weaker, I don’t feel afraid to ask LLM “stupid questions” ","Probably worse, it’s nice to have LLM at all times when I have an immediate question at 4am ",2. Only customized chatbots,I like when I know the instructor can customize and suggest an LLM that I can trust ,,Data 8,"Cogitive Science, Art Practice ",Data science
12/2/2024 14:21,25+ chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","I think ping pong asks some meaningless questions, such as asking first what do you understand about this topic? that is such a broad question that I never give serious thought to",50%-75%,,It is nice that it does walk you through the problem and helps you understand more,A little more often,I think I would spend a lot more time on my assignments,Yes they would probably be lower,1. All LLMs allowed,"I think it is unrealistic to forbid LLMs, the students need to decide whether they actually want to learn the material on the hw assignments or not.",,Data 8,Molecular and Cell Biology,Data Science
12/2/2024 14:21,Less than 5 chats,I prefer NOT to use LLMs for help with ANY of my coursework,"No, I think Ping Pong works just fine. I just personally prefer to stay away from using LLMs  in my learning.",,,,,,About as much as I do now,NA since I barely used it,"No, since I’ve only used it once",1. All LLMs allowed,I honestly can’t tell a big difference between Ping Ping and other LLMs.,"I hope instead of banning the use of LLMs in classrooms, we should be taught to integrate it into our work. I like how we were taught to use Ping Pong as a tool in this course.","Stat 20, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Media Studies,Data Science 
12/2/2024 14:22,25+ chats,,,I would prefer to use PingPong,"I think PingPong explains things from a more educational standpoint, changing how it ""reveals"" information",50%-75%,Sometime it falsely accuses me of pasting a homework response and asking it to give me the answer,,A lot more often,"Yes, I think my understanding would be a bit worse because I can ask PingPong silly questions",No,1. All LLMs allowed,People study in different ways and other LLMs might cater to that more,I am concerned about the overuse of LLMS and how it may decrease the effort students invest into studying,Stat 20,Cognitive Science,Data Science
12/2/2024 14:22,5-10 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","Other LLMs seem to have more context when I ask questions for studying purposes, as well as the fact that the PingPong model sometimes withholds helpful information in an act to help a student's learning, but I find it unproductive ~30% of the time. E.g. if I ask it to explain a function, it asks me to first try to explain it, but in that context it makes more sense for PingPong to just explain the function.",25%-50%,"I think PingPong needs to be more willing to give information out for pointed questions. A lot of times students are looking for the definition or a function use case, but PingPong doesn't seem to be willing to doso without a longer conversation. It would also be really interesting to add the lectures / slides as a data source for PingPong to pull from, so students could ask a question when studying about Lecture X and get a more thought out answer.","The back and forth on general concepts is pretty effective for studying. Also, I think that having a general filter on responses is useful for students who may have trouble grasping concepts.",A little more often,"I think my understanding would be far worse without LLMs. The ability to have on-demand niche concept explanations when studying is truly a game changer, especially with statistical or coding concepts.",I think they would likely be worse as a result of not being able to dive as deep as quickly into the concepts.,1. All LLMs allowed,"The use of LLMs is unavoidable, irrespective of course policies. As much as the honor code holds weight, there will always be students who use any LLM of their choice to complete the work and skew grades. Moreover, the world is pushing towards LLM use in every avenue of life and to restrict it in a classroom setting is doing a disservice to students trying to prepare for the real world.",,"Stat 20, CS61A/Data C88C (or other Programming)","Business Administration, Economics",Data Science
12/2/2024 14:22,10-25 chats,,,I would prefer to use PingPong,"Well the most common alternative, ChatGPT, gives me weird answers because it's not tailored to the class.",50%-75%,"Yes, I use pingpong to find solutions to problems where I am getting an error because one line of code has wrong arrangement of arguments or has minor syntax problems, and pingpong always tries to get me to answer its questions to make sure I am learning something, but no mate, I just want to know where in my syntax is wrong.",Yes! PingPong is amazing when it comes to R related questions. It knows most of the contexts of my problem without me having to provide it.,A lot more often,"Probably not. It doesn't introduce anything new to the class material, and my class notes are detailed enough.","Probably not, BUT it really helps me cut down on the time I spend on homework because I can get quick feedback on why my code is wrong without spending hours debugging and finding out that I just forgot to include a pipeline or something.",2. Only customized chatbots,,,Data 8,History,Data Science
12/2/2024 14:22,25+ chats,,,I would prefer to use PingPong,Ping Pong seems more trustworthy as it always offers explanation and justification for its answers whereas ChatGPT sometimes just blurts answers and then will change its mind if you ask the same thing again.,75%-100%,"Not really anything major, maybe an audio component where we can speak into it","Yes, the interactive questioning helps you actually understand and retain information better than asking ChatGPT. ",A little more often,"Yes, I think I would have had to dig more in terms of reading the textbook or going to office hours to understand core concepts, so my understanding of material might have been weaker.","Slightly yes, I think LLMs helped me ask quick 'dumb' questions to emphasize my understanding of core concepts, and other times helped me break down more complex questions into solvable components.",2. Only customized chatbots,Customized chatbots help standardize the class' interactions with LLMs while optimizing the LLM and how much it can help a student with the direct course content.,PingPong has made me trust in AI and believe in the potential of AI more in terms of aiding my understanding of material and education.,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Environmental Sciences,Data Science
12/2/2024 14:22,10-25 chats,,,I would prefer to use PingPong,,75%-100%,"I don't know if PingPong can do this, because I haven't tried, but I do notice that sometimes PingPong can use relatively complex or jargon-y language. I would love an ""explain it to me like I'm in elementary school"" type of mode, or very simple examples that could help illustrate concepts.","I have rarely used other LLMs, but I tend to trust PingPong more than other LLMs because I know that it is trained on a limited dataset so it's more likely to be right. I also like that it walks you step-by-step through the explanations of concepts or problems.",A little more often,"PingPong has helped me complete many homework and lab assignments, and often times when it comes to the coding side of Stat 131A, I wouldn't be able to understand the material without completing the practice problems that the homework provides.","I think my homework grades would be much lower without PingPong because it walks me through the coding aspect of statistics, which can be very difficult for me. I don't think it's helped me improve my exam grades too much.",2. Only customized chatbots,"When I can't make it to campus for office hours, a customized LLM can help take the place of office hours and offer help with specific homework questions.","I'm concerned about students' understanding of material because of overuse of LLMs. I think that something like PingPong is better than other LLMs, although it does still allow for a certain amount of copy-and-pasting that can bypass some of the learning process.","Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Psychology,Data Science
12/2/2024 14:22,Less than 5 chats,"I prefer to use other LLMs for STAT 131A material (e.g., ChatGPT, Gemini, or Claude).",I think I just never took the time to see how PingPong worked and what was different about it,,,,,,A little more often,I think it would take me longer to understand the material,Perhaps a little lower due to silly mistakes,1. All LLMs allowed,I think all LLMs can be useful in different ways ,"Students might not be putting in their full effort, for example skipping out on Office hours","Data 8, Data 88S (or other Probability Theory), Stat 133",Economics,Data Science
12/2/2024 14:22,25+ chats,,,I would prefer to use PingPong,It gave me very complete responses and it always gave me the answer I needed in the end. ,25%-50%,,It does nudge me in the right direction and sometimes I figure out the right answer before it tells me,A little more often,"Maybe I would struggle a bit more, but overall pingpong was a nice supplement","It helped me get help immediately when I needed it so I didn’t have to wait for an Ed response or wait to see a course staff in person, which was useful to finish homework more quickly and last minute exam studying",2. Only customized chatbots,It really does nudge me to the correct answer instead of just telling me so I do feel like I was using my brain a bit more,"Rather than concern whether AI will replace tutors, perhaps we need more course staff in general if there’s a gap in getting our questions met?","Data 8, CS61A/Data C88C (or other Programming), Stat 133",Public health ,Data science
12/2/2024 14:23,10-25 chats,,,I am indifferent,"I liked using Ping Pong because it was familiar with the course, however sometimes it was harder to get information out of which might lead me to use a different LLM if it had been permitted.",75%-100%,Sometimes it tries to elicit more understanding from you that you don't have and it does not want to proceed in helping you without more of an explanation.,I think PingPong's understanding of what it is being used for is certainly a strength. The ability to reference the class I am taking and have it understand the class and answer questions that align with it without having to explain the class is nice.,A little more often,My studying would not have been as complete.,"I never actually used PingPong on a homework, but I assume my exam score for midterm 2 would have been lower being I used it as a study tool.",2. Only customized chatbots,I think having a customized chatbot is very useful because it can be specified for the class. ,"I think I am optimistic about the future. I certainly hope it does not fully replace human tutors, however.","Data 8, Stat 20, CS61A/Data C88C (or other Programming), Stat 133",Economics,Data Science
12/2/2024 14:23,5-10 chats,,,I would prefer to use PingPong,Chatgpt just gives you the answer ping pong allows you to learn,50%-75%,,,A little more often,Yes I think I’d understand a bit less given that sometimes office hours conflicts with other things I can rely on pingpong to explain concepts I’m confused about from lecture ,,2. Only customized chatbots,,,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Economics ,Data Science 
12/2/2024 14:23,25+ chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","ping pong is pretty good, but sometimes it takes a long time to get the answer I need (ex: it asks me to share my understanding of a topic but like.. if I already understand it pretty well it just feels tedious to have to regurgitate stuff I know)",50%-75%,"I wish there was an option to ask quick questions without having to share my understanding of the concept generally first. I understand the use of the ""what do you already know"" question, and it did help me at times, but other times it just slowed me down","maybe I'm just delusional but I feel like it was better at explaining stats topics / helping me understand WHY we were doing something, whereas some of the other LLMs just give you an answer ",A lot more often,"maybe a little bit, but most of my understanding of 131a material came from going to class/ section",yes for sure. The hardest part of coding for me is understanding all the nuances of the syntax and ping pong was super helpful at clarifying that sorta thing for me ,2. Only customized chatbots,"im genuinely a bit scared about the future of education, given the rise of LLMs. I think it's good to make students use LLMs that at least prompt us to put a little more thought into what we are asking and why. I don't think it makes sense to NOT use LLMs, given that they're super useful, especially in a place like berkeley where class sizes are so huge. ","oh man i think AI is pretty terrifying ... I am worried I will lose my ability to think critically and there's also the environmental concerns to take into account, among so many other concerns. that said, Ping pong has showed me that LLMs can be effective, but I am still very hesitant to become too dependent on it","Data 8, CS61A/Data C88C (or other Programming)",Cognitive Science,Data Science
12/2/2024 14:23,25+ chats,,,I would prefer to use PingPong,"PingPong had a better understanding of the course setup and the actual concepts we were learning. Therefore, its background knowledge was more relevant and applicable to my coursework and understanding of the coursework.",75%-100%,"It could be frustrating at times when it was redundant, but I understand that it was necessary.",I like that it takes it slow and won't give you the answer immediately because it asks you step by step how to get to the answer which helps you understand it better.,A little more often,"Yes, but not because the course material provided by the class itself isnt enough. But in order for me to learn, I have to be walked through each step and use it myself multiple times which is why it helped my understanding a lot.","Same answer as above, but I don't think my exam grades would be much different. The course office hours were more helpful for that.",1. All LLMs allowed,I think that all LLMs have different benefits and in the real world students will be able to leverage all without restrictions.,I feel positively and more optimistic that an amazing resource exists,"Data 8, CS61A/Data C88C (or other Programming)",Cognitive Science,Data Science
12/2/2024 14:23,10-25 chats,,,I would prefer to use PingPong,pingpong is personalized to my course,50%- 75%,frustrating when it asks me too many questions when i feel like i know what i am doing. ,"yes, personalized to the course and helps me feel it is more trustworthy, and it won't feel like i'm cheating in any way since its provided as a resource to me ",A little more often,"i do think i use it as a bit of a crutch, but also helps me understand that i dont need to memorize everythign to understand how to code ",,2. Only customized chatbots,i feel like im learnign the right thing from the customatized llm versus chatgpt that might spit out some high level thing i dont understand,"pingpong has helped me see the use of llm, but also yes i am worried it does replace a lot of interpersonal interaction that i would get otherwise. i am also worried about ai being used as a crutch in education, because it can be really easily. ","Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Molecular and Cell Biology,Data Science
12/2/2024 14:24,10-25 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","PingPong just isnt hepful to me. The granularity of response isn't helpful, it's slow, I can't read as I scroll, and I need to ask a lot of questions to get to what I want. It's just not that good. ",0%-25%,This is small but I don't want to wait until it finishes generating to read. Then its really annoying to have to tell it what i know. I asked the question I want the answer to. ,no,About as much as I do now,I think id have learned a lot more with chat. I am allowed to use it in other stats classes and other knowledge carried me through this class. ,yeah likely a lot buggier! AI was helpful in catching bugs I'd have given up on otherwise. ,1. All LLMs allowed,"I think you get the best outcome, but i get its hard to prevent cheating. ",too easy to lean on llms for code and outsourcing thinking/understanding,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",,
12/2/2024 14:26,5-10 chats,,,I am indifferent,I haven’t really noticed when using ping pong that it’s better than any other LMMs I’ve tried so I wouldn’t really mind using either ,25%-50%,I understand why ping pong prompts so much with asking the student what they know about a subject before diving into the question but sometimes it’s frustrating when I ask about a concept and clearly am asking it in a way where I just want a simple definition or explanation and it keeps prompting me asking what I already know about the subject and if I can explain what I learned already,No,About as much as I do now,Yes because I’ve used LLMs to explain concepts to me and remind me of what I learned in class ,Yes because i don’t think my understanding of the concepts would be as strong,1. All LLMs allowed,I think LLMs are a useful tool and if someone is abusing them for homework or assignments then that’s their problem and they’ll deal with the consequences of not learning the content later. In life and work in the future we can’t avoid the existence of LLMs at this point so why try to restrict it and create a vacuum environment without them — that seems unrealistic and I think this could be a good time for us to learn how to use them effectively and in balance with our own knowledge ,No,"Stat 20, Data 88S (or other Probability Theory), Stat 133",Cogitive Science,Data Science
12/2/2024 14:29,10-25 chats,,,I am indifferent,"Depending on the type of question or prompt I am asking, I think I would prefer to use the LLM of ping pong over chat gpt more for learning information on a specific topic as that is what I used it on. I am not sure if one is better or more accurate in terms of the information it outputs. But I would use chat gpt for ideas in terms of paper formatting, code output, and general use as I enjoy the simplicity and aesthetic of chatgpt.",25%-50%,I think it could be more improved by giving examples problems that could be a question on the tests for the topics asked about.,"It has a strong response time, good formatting and aesthetic, and is able to ask good questions to what I hope to learn from the chatbox.",A little more often,Yes I would definitely seek more help for in person OH and guidance. This would probably give me more of an understanding on the material and would allow me to be more engaged.,"Probably higher, I have also been guilty but people may rely on getting results and relying on what is outputted from LLMs. There is no personal interaction and thus less engagement in the material now.",2. Only customized chatbots,It keeps people more honest and engaged in the material to a limit.,I am scared that people get lazy and rely on this information outputted by AI and it isn't as creative and is kinda all lacks depth and is pretty phoney.,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Environmental Science,Data Science
